data,rodada,status,time_casa,time_fora,gols_casa,gols_fora
2026-01-28,1,FINISHED,CA Mineiro,SE Palmeiras,2.0,2.0
2026-01-28,1,FINISHED,Coritiba FBC,RB Bragantino,0.0,1.0
2026-01-28,1,FINISHED,SC Internacional,CA Paranaense,0.0,1.0
2026-01-28,1,FINISHED,EC Vitória,Clube do Remo,2.0,0.0
2026-01-28,1,FINISHED,Fluminense FC,Grêmio FBPA,2.0,1.0
2026-01-28,1,FINISHED,Chapecoense AF,Santos FC,4.0,2.0
2026-01-28,1,FINISHED,SC Corinthians Paulista,EC Bahia,1.0,2.0
2026-01-29,1,FINISHED,São Paulo FC,CR Flamengo,2.0,1.0
2026-01-29,1,FINISHED,Mirassol FC,CR Vasco da Gama,2.0,1.0
2026-01-30,1,FINISHED,Botafogo FR,Cruzeiro EC,4.0,0.0
2026-02-04,2,FINISHED,RB Bragantino,CA Mineiro,1.0,0.0
2026-02-04,2,FINISHED,CR Flamengo,SC Internacional,1.0,1.0
2026-02-04,2,FINISHED,Clube do Remo,Mirassol FC,2.0,2.0
2026-02-04,2,FINISHED,Santos FC,São Paulo FC,1.0,1.0
2026-02-05,2,FINISHED,Grêmio FBPA,Botafogo FR,5.0,3.0
2026-02-05,2,FINISHED,SE Palmeiras,EC Vitória,5.0,1.0
2026-02-05,2,FINISHED,EC Bahia,Fluminense FC,1.0,1.0
2026-02-05,2,FINISHED,CR Vasco da Gama,Chapecoense AF,1.0,1.0
2026-02-06,2,FINISHED,Cruzeiro EC,Coritiba FBC,1.0,2.0
2026-02-11,3,FINISHED,EC Vitória,CR Flamengo,1.0,2.0
2026-02-11,3,FINISHED,Chapecoense AF,Coritiba FBC,3.0,3.0
2026-02-11,3,FINISHED,Mirassol FC,Cruzeiro EC,2.0,2.0
2026-02-11,3,FINISHED,CA Mineiro,Clube do Remo,3.0,3.0
2026-02-12,3,FINISHED,São Paulo FC,Grêmio FBPA,2.0,0.0
2026-02-12,3,FINISHED,CR Vasco da Gama,EC Bahia,0.0,1.0
2026-02-12,3,FINISHED,CA Paranaense,Santos FC,2.0,1.0
2026-02-12,3,FINISHED,Fluminense FC,Botafogo FR,1.0,0.0
2026-02-12,3,FINISHED,SC Corinthians Paulista,RB Bragantino,2.0,0.0
2026-02-13,3,FINISHED,SC Internacional,SE Palmeiras,1.0,3.0
2026-02-19,2,FINISHED,CA Paranaense,SC Corinthians Paulista,0.0,1.0
2026-02-25,4,FINISHED,RB Bragantino,CA Paranaense,1.0,1.0
2026-02-25,4,FINISHED,Clube do Remo,SC Internacional,1.0,1.0
2026-02-25,4,FINISHED,Coritiba FBC,São Paulo FC,0.0,1.0
