time,jogos_casa,vitorias_casa,empates_casa,derrotas_casa,jogos_fora,vitorias_fora,empates_fora,derrotas_fora,time_popular,pontos_casa,pontos_fora,aprov_casa,aprov_fora,aprov_total
SE Palmeiras,4,4,0,0,4,2,1,1,Palmeiras,12,7,100.0,58.3,158.3
CR Flamengo,3,2,1,0,4,2,1,1,Flamengo,7,7,77.8,58.3,136.1
Fluminense FC,4,4,0,0,4,1,1,2,Fluminense,12,4,100.0,33.3,133.3
São Paulo FC,4,3,0,1,4,2,1,1,São Paulo,9,7,75.0,58.3,133.3
EC Bahia,3,1,2,0,4,3,0,1,Bahia,5,9,55.6,75.0,130.6
CA Paranaense,5,4,0,1,3,1,1,1,Athletico-PR,12,4,80.0,44.4,124.4
Coritiba FBC,3,1,0,2,5,3,1,1,Coritiba,3,10,33.3,66.7,100.0
Grêmio FBPA,4,3,1,0,4,0,1,3,Grêmio,10,1,83.3,8.3,91.6
EC Vitória,4,3,0,1,3,0,1,2,Vitória,9,1,75.0,11.1,86.1
SC Corinthians Paulista,4,1,1,2,4,1,3,0,Corinthians,4,6,33.3,50.0,83.3
CR Vasco da Gama,5,3,1,1,3,0,1,2,Vasco,10,1,66.7,11.1,77.8
Botafogo FR,2,1,0,1,5,1,0,4,Botafogo,3,3,50.0,20.0,70.0
CA Mineiro,4,2,2,0,4,0,0,4,Atlético-MG,8,0,66.7,0.0,66.7
SC Internacional,4,1,0,3,4,1,2,1,Internacional,3,5,25.0,41.7,66.7
RB Bragantino,4,1,1,2,4,1,1,2,Bragantino,4,4,33.3,33.3,66.6
Chapecoense AF,4,1,3,0,3,0,1,2,Chapecoense,6,1,50.0,11.1,61.1
Santos FC,4,1,2,1,4,0,2,2,Santos,5,2,41.7,16.7,58.400000000000006
Mirassol FC,4,1,2,1,3,0,1,2,Mirassol,5,1,41.7,11.1,52.800000000000004
Clube do Remo,4,1,2,1,4,0,1,3,Remo,5,1,41.7,8.3,50.0
Cruzeiro EC,4,0,3,1,4,0,1,3,Cruzeiro,3,1,25.0,8.3,33.3
